"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"110","Fresno","CA",2005,27597,"Dollars",0
"111","Fresno","CA",2006,29137,"Dollars",0
"112","Fresno","CA",2007,30293,"Dollars",0
"113","Fresno","CA",2008,30454,"Dollars",0
"114","Fresno","CA",2009,30176,"Dollars",0
"115","Fresno","CA",2010,31181,"Dollars",0
"116","Fresno","CA",2011,32669,"Dollars",0
"117","Fresno","CA",2012,33288,"Dollars",0
"118","Fresno","CA",2013,34426,"Dollars",0
"119","Fresno","CA",2014,36385,"Dollars",0
"120","Fresno","CA",2015,38296,"Dollars",0
"121","Glenn","CA",2013,37911,"Dollars",0
"122","Glenn","CA",2014,36446,"Dollars",0
"123","Glenn","CA",2015,38924,"Dollars",0
"124","Glenn","CA",2004,24480,"Dollars",0
"125","Glenn","CA",2005,24893,"Dollars",0
"126","Glenn","CA",2006,24563,"Dollars",0
"127","Glenn","CA",2007,29216,"Dollars",0
"128","Glenn","CA",2008,29994,"Dollars",0
"129","Glenn","CA",2009,30925,"Dollars",0
"130","Glenn","CA",2010,32112,"Dollars",0
"131","Glenn","CA",2011,34053,"Dollars",0
"132","Glenn","CA",2012,34953,"Dollars",0
"133","Humboldt","CA",2013,36739,"Dollars",0
"134","Humboldt","CA",2014,38324,"Dollars",0
"135","Humboldt","CA",2015,40594,"Dollars",0
"136","Humboldt","CA",2004,29446,"Dollars",0
"137","Humboldt","CA",2005,29840,"Dollars",0
"138","Humboldt","CA",2006,31282,"Dollars",0
"139","Humboldt","CA",2007,32246,"Dollars",0
"140","Humboldt","CA",2008,32816,"Dollars",0
"141","Humboldt","CA",2009,33085,"Dollars",0
"142","Humboldt","CA",2010,35490,"Dollars",0
"143","Humboldt","CA",2011,35892,"Dollars",0
"144","Humboldt","CA",2012,36182,"Dollars",0
"145","Imperial","CA",2013,32627,"Dollars",0
"146","Imperial","CA",2014,33758,"Dollars",0
"147","Imperial","CA",2015,36121,"Dollars",0
"148","Imperial","CA",2004,23530,"Dollars",0
"149","Imperial","CA",2005,24097,"Dollars",0
"150","Imperial","CA",2006,25334,"Dollars",0
"151","Imperial","CA",2007,26270,"Dollars",0
"152","Imperial","CA",2008,28108,"Dollars",0
"153","Imperial","CA",2009,27867,"Dollars",0
"154","Imperial","CA",2010,29124,"Dollars",0
"155","Imperial","CA",2011,31225,"Dollars",0
"156","Imperial","CA",2012,31428,"Dollars",0
"157","Inyo","CA",2004,34385,"Dollars",0
"158","Inyo","CA",2005,36095,"Dollars",0
"159","Inyo","CA",2006,38571,"Dollars",0
"160","Inyo","CA",2007,39553,"Dollars",0
"161","Inyo","CA",2008,42280,"Dollars",0
"162","Inyo","CA",2009,41363,"Dollars",0
"163","Inyo","CA",2010,42443,"Dollars",0
"164","Inyo","CA",2011,43618,"Dollars",0
"165","Inyo","CA",2012,45319,"Dollars",0
"166","Inyo","CA",2013,45780,"Dollars",0
"167","Inyo","CA",2014,48579,"Dollars",0
"168","Inyo","CA",2015,50961,"Dollars",0
"169","Kern","CA",2005,26034,"Dollars",0
"170","Kern","CA",2004,24985,"Dollars",0
"171","Kern","CA",2015,36532,"Dollars",0
"172","Kern","CA",2014,36164,"Dollars",0
"173","Kern","CA",2013,34301,"Dollars",0
"174","Kern","CA",2012,33731,"Dollars",0
"175","Kern","CA",2011,32141,"Dollars",0
"176","Kern","CA",2010,30669,"Dollars",0
