"","County","State","Year","Population","Unit","Multiplier"
"545","Pitkin","CO",2005,15399,"Number of persons",0
"546","Pitkin","CO",2006,15504,"Number of persons",0
"547","Pitkin","CO",2007,15814,"Number of persons",0
"548","Pitkin","CO",2008,16454,"Number of persons",0
"549","Pitkin","CO",2009,17008,"Number of persons",0
"550","Pitkin","CO",2010,17143,"Number of persons",0
"551","Pitkin","CO",2011,17111,"Number of persons",0
"552","Pitkin","CO",2012,17182,"Number of persons",0
"553","Prowers","CO",2013,12278,"Number of persons",0
"554","Prowers","CO",2014,12012,"Number of persons",0
"555","Prowers","CO",2015,11874,"Number of persons",0
"556","Prowers","CO",2004,13613,"Number of persons",0
"557","Prowers","CO",2005,13480,"Number of persons",0
"558","Prowers","CO",2006,13130,"Number of persons",0
"559","Prowers","CO",2007,12736,"Number of persons",0
"560","Prowers","CO",2008,12663,"Number of persons",0
"561","Prowers","CO",2009,12593,"Number of persons",0
"562","Prowers","CO",2010,12543,"Number of persons",0
"563","Prowers","CO",2011,12484,"Number of persons",0
"564","Prowers","CO",2012,12394,"Number of persons",0
"565","Pueblo","CO",2004,148654,"Number of persons",0
"566","Pueblo","CO",2005,149825,"Number of persons",0
"567","Pueblo","CO",2006,152026,"Number of persons",0
"568","Pueblo","CO",2007,155121,"Number of persons",0
"569","Pueblo","CO",2008,156748,"Number of persons",0
"570","Pueblo","CO",2009,157846,"Number of persons",0
"571","Pueblo","CO",2010,159368,"Number of persons",0
"572","Pueblo","CO",2011,160044,"Number of persons",0
"573","Pueblo","CO",2012,160465,"Number of persons",0
"574","Pueblo","CO",2013,160666,"Number of persons",0
"575","Pueblo","CO",2014,160872,"Number of persons",0
"576","Pueblo","CO",2015,162401,"Number of persons",0
"577","Rio Blanco","CO",2013,6756,"Number of persons",0
"578","Rio Blanco","CO",2014,6678,"Number of persons",0
"579","Rio Blanco","CO",2015,6578,"Number of persons",0
"580","Rio Blanco","CO",2004,6007,"Number of persons",0
"581","Rio Blanco","CO",2005,5945,"Number of persons",0
"582","Rio Blanco","CO",2006,6176,"Number of persons",0
"583","Rio Blanco","CO",2007,6373,"Number of persons",0
"584","Rio Blanco","CO",2008,6522,"Number of persons",0
"585","Rio Blanco","CO",2009,6779,"Number of persons",0
"586","Rio Blanco","CO",2010,6627,"Number of persons",0
"587","Rio Blanco","CO",2011,6774,"Number of persons",0
"588","Rio Blanco","CO",2012,6803,"Number of persons",0
"589","Rio Grande","CO",2004,12328,"Number of persons",0
"590","Rio Grande","CO",2005,12208,"Number of persons",0
"591","Rio Grande","CO",2006,12033,"Number of persons",0
"592","Rio Grande","CO",2007,11852,"Number of persons",0
"593","Rio Grande","CO",2008,11860,"Number of persons",0
"594","Rio Grande","CO",2009,11872,"Number of persons",0
"595","Rio Grande","CO",2010,12028,"Number of persons",0
"596","Rio Grande","CO",2011,11944,"Number of persons",0
"597","Rio Grande","CO",2012,11921,"Number of persons",0
"598","Rio Grande","CO",2013,11751,"Number of persons",0
"599","Rio Grande","CO",2014,11605,"Number of persons",0
"600","Rio Grande","CO",2015,11477,"Number of persons",0
"601","Routt","CO",2013,23394,"Number of persons",0
"602","Routt","CO",2014,23797,"Number of persons",0
"603","Routt","CO",2015,24028,"Number of persons",0
"604","Routt","CO",2004,21162,"Number of persons",0
"605","Routt","CO",2005,21398,"Number of persons",0
"606","Routt","CO",2006,21859,"Number of persons",0
"607","Routt","CO",2007,22491,"Number of persons",0
"608","Routt","CO",2008,23135,"Number of persons",0
"609","Routt","CO",2009,23688,"Number of persons",0
"610","Routt","CO",2010,23418,"Number of persons",0
"611","Routt","CO",2011,23174,"Number of persons",0
"612","Routt","CO",2012,23135,"Number of persons",0
"613","Saguache","CO",2013,6076,"Number of persons",0
"614","Saguache","CO",2014,5984,"Number of persons",0
"615","Saguache","CO",2015,5988,"Number of persons",0
"616","Saguache","CO",2004,6365,"Number of persons",0
"617","Saguache","CO",2005,6296,"Number of persons",0
"618","Saguache","CO",2006,6223,"Number of persons",0
"619","Saguache","CO",2007,6148,"Number of persons",0
"620","Saguache","CO",2008,6179,"Number of persons",0
"621","Saguache","CO",2009,6134,"Number of persons",0
"622","Saguache","CO",2010,6123,"Number of persons",0
"623","Saguache","CO",2011,6124,"Number of persons",0
"624","Saguache","CO",2012,6215,"Number of persons",0
"625","San Juan","CO",2013,681,"Number of persons",0
"626","San Juan","CO",2014,697,"Number of persons",0
"627","San Juan","CO",2015,672,"Number of persons",0
"628","San Juan","CO",2004,631,"Number of persons",0
"629","San Juan","CO",2005,627,"Number of persons",0
"630","San Juan","CO",2006,649,"Number of persons",0
"631","San Juan","CO",2007,661,"Number of persons",0
"632","San Juan","CO",2008,670,"Number of persons",0
"633","San Juan","CO",2009,657,"Number of persons",0
"634","San Juan","CO",2010,707,"Number of persons",0
"635","San Juan","CO",2011,686,"Number of persons",0
"636","San Juan","CO",2012,684,"Number of persons",0
"637","San Miguel","CO",2004,7038,"Number of persons",0
"638","San Miguel","CO",2005,7097,"Number of persons",0
"639","San Miguel","CO",2006,7071,"Number of persons",0
"640","San Miguel","CO",2007,7322,"Number of persons",0
"641","San Miguel","CO",2008,7366,"Number of persons",0
"642","San Miguel","CO",2009,7379,"Number of persons",0
"643","San Miguel","CO",2010,7357,"Number of persons",0
"644","San Miguel","CO",2011,7485,"Number of persons",0
"645","San Miguel","CO",2012,7577,"Number of persons",0
"646","San Miguel","CO",2013,7616,"Number of persons",0
"647","San Miguel","CO",2014,7730,"Number of persons",0
"648","San Miguel","CO",2015,7823,"Number of persons",0
"649","Sedgwick","CO",2004,2551,"Number of persons",0
"650","Sedgwick","CO",2005,2522,"Number of persons",0
"651","Sedgwick","CO",2006,2474,"Number of persons",0
"652","Sedgwick","CO",2007,2400,"Number of persons",0
"653","Sedgwick","CO",2008,2421,"Number of persons",0
"654","Sedgwick","CO",2009,2392,"Number of persons",0
"655","Sedgwick","CO",2010,2374,"Number of persons",0
"656","Sedgwick","CO",2011,2387,"Number of persons",0
"657","Sedgwick","CO",2012,2406,"Number of persons",0
"658","Sedgwick","CO",2013,2380,"Number of persons",0
"659","Sedgwick","CO",2014,2387,"Number of persons",0
"660","Sedgwick","CO",2015,2442,"Number of persons",0
"661","Summit","CO",2013,28838,"Number of persons",0
"662","Summit","CO",2014,29463,"Number of persons",0
"663","Summit","CO",2015,30228,"Number of persons",0
"664","Summit","CO",2004,25313,"Number of persons",0
"665","Summit","CO",2005,25487,"Number of persons",0
"666","Summit","CO",2006,26019,"Number of persons",0
"667","Summit","CO",2007,26603,"Number of persons",0
"668","Summit","CO",2008,27144,"Number of persons",0
"669","Summit","CO",2009,27678,"Number of persons",0
"670","Summit","CO",2010,28083,"Number of persons",0
"671","Summit","CO",2011,28084,"Number of persons",0
"672","Summit","CO",2012,28373,"Number of persons",0
"673","Teller","CO",2014,23145,"Number of persons",0
"674","Teller","CO",2013,23133,"Number of persons",0
"675","Teller","CO",2012,23290,"Number of persons",0
"676","Teller","CO",2011,23286,"Number of persons",0
"677","Teller","CO",2010,23456,"Number of persons",0
"678","Teller","CO",2009,22937,"Number of persons",0
"679","Teller","CO",2008,22725,"Number of persons",0
"680","Teller","CO",2007,22707,"Number of persons",0
"681","Teller","CO",2006,22281,"Number of persons",0
"682","Teller","CO",2005,21978,"Number of persons",0
"683","Teller","CO",2004,21678,"Number of persons",0
"684","Teller","CO",2015,23036,"Number of persons",0
"685","Washington","CO",2004,4923,"Number of persons",0
"686","Washington","CO",2005,4912,"Number of persons",0
"687","Washington","CO",2006,4907,"Number of persons",0
"688","Washington","CO",2007,4883,"Number of persons",0
"689","Washington","CO",2008,4792,"Number of persons",0
"690","Washington","CO",2009,4800,"Number of persons",0
"691","Washington","CO",2010,4807,"Number of persons",0
"692","Washington","CO",2011,4743,"Number of persons",0
"693","Washington","CO",2012,4676,"Number of persons",0
"694","Washington","CO",2013,4711,"Number of persons",0
"695","Washington","CO",2014,4695,"Number of persons",0
"696","Washington","CO",2015,4744,"Number of persons",0
"697","Yuma","CO",2004,9791,"Number of persons",0
"698","Yuma","CO",2005,9765,"Number of persons",0
"699","Yuma","CO",2006,9784,"Number of persons",0
"700","Yuma","CO",2007,9788,"Number of persons",0
"701","Yuma","CO",2008,9843,"Number of persons",0
"702","Yuma","CO",2009,10022,"Number of persons",0
"703","Yuma","CO",2010,10052,"Number of persons",0
"704","Yuma","CO",2011,10129,"Number of persons",0
"705","Yuma","CO",2012,10091,"Number of persons",0
"706","Yuma","CO",2013,10116,"Number of persons",0
"707","Yuma","CO",2014,10160,"Number of persons",0
"708","Yuma","CO",2015,10007,"Number of persons",0
