state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-01,Parts per billion,No Events,23,96.0,Y,4.565217,11.0,11,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-02,Parts per billion,No Events,23,96.0,Y,1.391304,3.0,0,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-03,Parts per billion,No Events,23,96.0,Y,1.913043,4.0,0,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-04,Parts per billion,No Events,23,96.0,Y,3.130435,5.0,8,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-05,Parts per billion,No Events,23,96.0,Y,1.913043,4.0,12,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-06,Parts per billion,No Events,23,96.0,Y,2.869565,5.0,18,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-07,Parts per billion,No Events,23,96.0,Y,10.043478,19.0,11,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-08,Parts per billion,No Events,23,96.0,Y,14.73913,28.0,12,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-09,Parts per billion,No Events,23,96.0,Y,4.956522,14.0,0,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-10,Parts per billion,No Events,23,96.0,Y,2.652174,4.0,8,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-11,Parts per billion,No Events,23,96.0,Y,2.26087,3.0,5,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-12,Parts per billion,No Events,23,96.0,Y,4.73913,7.0,15,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-13,Parts per billion,No Events,21,88.0,Y,4.428571,6.0,9,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
06,083,1013,42603,1,34.725352,-120.428717,NAD83,Oxides of nitrogen (NOx),1,1 HOUR,,2004-01-14,Parts per billion,No Events,23,96.0,Y,4.652174,10.0,11,,042,INSTRUMENTAL - CHEMILUMINESCENCE,Lompoc HSP,"HS & P FACILITY-500 M SW, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2013-06-11
